layer,source,feature_count,geometry_types,value_column,value_min,value_max,gpkg_exists,xyz_exists,status,voxel_role,use_now,height_source,note
terrain_dem,AWS Terrain Tiles / Mapzen GeoTIFF,356189,raster cells,elevation_or_derived,,,False,True,USABLE,terrain_lower_boundary,YES,raster elevation,Use as ground elevation / lower no-fly boundary.
terrain_slope,derived from DEM,354188,raster cells,elevation_or_derived,,,False,True,USABLE,terrain_risk/reference,OPTIONAL,raster elevation,"Useful for terrain complexity, not a direct air obstacle."
terrain_TRI,derived from DEM,356189,raster cells,elevation_or_derived,,,False,True,USABLE,terrain_risk/reference,OPTIONAL,raster elevation,"Useful for terrain roughness, not a direct air obstacle."
buildings,OSM building footprints,200,Polygon:200,height_m,3.0,33.0,True,True,USABLE_BUT_HEIGHT_ASSUMED,hard_obstacle,YES,"OSM height/building:levels, otherwise assumed default",Use as 3D blocked volume. Check heights because many OSM buildings may use default height.
roads_centerlines,OSM highway=*,1238,LineString:1226; MultiLineString:12,road_code,1.0,11.0,True,True,REFERENCE_AVAILABLE,risk/reference,REFERENCE_ONLY,no height; surface network only,"Use for road-crossing risk, access, or traffic exposure. Do not block airspace by default."
road_vertices,extracted from road LineString vertices,10533,Point:10533,road_code,1.0,11.0,False,True,REFERENCE_AVAILABLE,risk/reference points,REFERENCE_ONLY,no height; derived points only,Useful for checking OSM geometry vertices. Prefer sampled road points for gridded risk.
road_sample_points,sampled every 25 m along roads,13236,Point:13236,road_code,1.0,11.0,False,True,USABLE,risk/reference points,YES_FOR_SOFT_RISK,no height; derived points only,Good for rasterizing road-proximity or road-crossing risk.
powerlines_cables,OSM power=line/minor_line/cable,13,LineString:13,assumed_zmax_agl_m,35.0,35.0,True,True,USABLE_BUT_HEIGHT_ASSUMED,hard_obstacle,YES_WITH_BUFFER,assumed z_min/z_max unless OSM/custom height added,Use as conservative 3D blocked corridor. Need field/DSM check for true cable height and sag.
power_towers_poles,OSM power=tower/pole,50,Point:50,height_m,35.0,35.0,True,True,USABLE,hard_obstacle,YES_WITH_BUFFER,"OSM height if available, otherwise tower/pole default",Use as point/cylinder obstacle. Check whether tower/pole classification is complete.
traffic_lights,OSM highway=traffic_signals,4,Point:4,height_m,6.0,6.0,True,True,USABLE_BUT_HEIGHT_ASSUMED,low_altitude_obstacle,YES_IF_LOW_ALTITUDE,usually assumed default height,Use near DB/DK/FLZ or flight below about 20 m AGL. Usually not important for normal cruise altitude.
street_lamps,OSM highway=street_lamp,0,none,height_m,,,True,True,EMPTY_IN_AOI,low_altitude_obstacle,NO_DATA_IN_AOI,usually assumed default height,Use near takeoff/landing corridors. OSM completeness can be poor.
